state,city
Uttar Pradesh,Lal Gopalganj Nindaura
Bihar,Lalganj
Tamil Nadu,Lalgudi
Uttar Pradesh,Lalitpur
Uttar Pradesh,Lalganj
Rajasthan,Lalsot
Assam,Lanka
Uttar Pradesh,Lar
Gujarat,Lathi
Maharashtra,Latur
Manipur,Lilong
Gujarat,Limbdi
Karnataka,Lingsugur
Maharashtra,Loha
Jharkhand,Lohardaga
Maharashtra,Lonar
Maharashtra,Lonavla
Punjab,Longowal
Uttar Pradesh,Loni
Rajasthan,Losal
Uttar Pradesh,Lucknow
Punjab,Ludhiana
Assam,Lumding
Gujarat,Lunawada
Mizoram,Lunglei
Andhra Pradesh,Macherla
Andhra Pradesh,Machilipatnam
Andhra Pradesh,Madanapalle
Karnataka,Maddur
Bihar,Madhepura
Bihar,Madhubani
Karnataka,Madhugiri
Jharkhand,Madhupur
Karnataka,Madikeri
Tamil Nadu,Madurai
Karnataka,Magadi
Maharashtra,Mahad
Telangana,Mahbubnagar
Karnataka,Mahalingapura
Bihar,Maharajganj
Madhya Pradesh,Maharajpur
Chhattisgarh,Mahasamund
Puducherry,Mahe
Chhattisgarh,Manendragarh
Haryana,Mahendragarh
Gujarat,Mahesana
Madhya Pradesh,Mahidpur
Bihar,Mahnar Bazar
Gujarat,Mahuva
Madhya Pradesh,Maihar
West Bengal,Mainaguri
Bihar,Makhdumpur
Rajasthan,Makrana
West Bengal,Malda
Madhya Pradesh,Malaj Khand
Kerala,Malappuram
Karnataka,Malavalli
Maharashtra,Malegaon
Punjab,Malerkotla
Odisha,Malkangiri
Maharashtra,Malkapur
Punjab,Malout
Rajasthan,Malpura
Karnataka,Malur
Tamil Nadu,Manachanallur
Madhya Pradesh,Manasa
Gujarat,Manavadar
Madhya Pradesh,Manawar
Telangana,Mancherial
Rajasthan,Mandalgarh
Telangana,Mandamarri
Andhra Pradesh,Mandapeta
Rajasthan,Mandawa
Himachal Pradesh,Mandi
Haryana,Mandi Dabwali
Madhya Pradesh,Mandideep
Madhya Pradesh,Mandla
Madhya Pradesh,Mandsaur
Gujarat,Mandvi
Karnataka,Mandya
Bihar,Maner
Assam,Mangaldoi
Karnataka,Mangaluru
Maharashtra,Mangalvedhe
Uttarakhand,Manglaur
Gujarat,Mangrol
Rajasthan,Mangrol
Maharashtra,Mangrulpir
Bihar,Manihari
Maharashtra,Manjlegaon
Assam,Mankachar
Maharashtra,Manmad
Punjab,Mansa
Gujarat,Mansa
Telangana,Manuguru
Karnataka,Manvi
Maharashtra,Manwath
Goa,Mapusa
Goa,Margao
Assam,Margherita
Bihar,Marhaura
Assam,Mariani
Assam,Marigaon
Andhra Pradesh,Markapur
Goa,Marmagao
Bihar,Masaurhi
West Bengal,Mathabhanga
Kerala,Mattannur
Uttar Pradesh,Mathura
Madhya Pradesh,Mauganj
Kerala,Mavelikkara
Kerala,Mavoor
Manipur,Mayang Imphal
Telangana,Medak
West Bengal,Medinipur
Uttar Pradesh,Meerut
Maharashtra,Mehkar
Gujarat,Mahemdabad
West Bengal,Memari
Rajasthan,Merta City
Maharashtra,Mhaswad
Madhya Pradesh,Mhow Cantonment
Madhya Pradesh,Mhowgaon
Jharkhand,Mihijam
Maharashtra,Mira-Bhayandar
Bihar,Mirganj
Telangana,Miryalaguda
Gujarat,Modasa
Uttar Pradesh,Modinagar
Punjab,Moga
Punjab,Mohali
Bihar,Mokameh
Nagaland,Mokokchung
West Bengal,Monoharpur
Uttar Pradesh,Moradabad
Madhya Pradesh,Morena
Punjab,Morinda
Maharashtra,Morshi
Gujarat,Morvi
Bihar,Motihari
Bihar,Motipur
Rajasthan,Mount Abu
Karnataka,Mudalagi
Karnataka,Mudabidri
Karnataka,Muddebihal
Karnataka,Mudhol
Punjab,Mukerian
Maharashtra,Mukhed
Punjab,Muktsar
Maharashtra,Mul
Karnataka,Mulbagal
Madhya Pradesh,Multai
Maharashtra,Greater Mumbai*
Madhya Pradesh,Mundi
Karnataka,Mundargi
Chhattisgarh,Mungeli
Bihar,Munger
Bihar,Murliganj
West Bengal,Murshidabad
Maharashtra,Murtijapur
Madhya Pradesh,Murwara
Jharkhand,Musabani
Uttarakhand,Mussoorie
Kerala,Muvattupuzha
Bihar,Muzaffarpur
West Bengal,Nabadwip
Odisha,Nabarangapur
Punjab,Nabha
Rajasthan,Nadbai
Gujarat,Nadiad
Assam,Nagaon
Tamil Nadu,Nagapattinam
Rajasthan,Nagar
Andhra Pradesh,Nagari
Telangana,Nagarkurnool
Rajasthan,Nagaur
Madhya Pradesh,Nagda
Tamil Nadu,Nagercoil
Uttar Pradesh,Nagina
Uttarakhand,Nagla
Maharashtra,Nagpur
Himachal Pradesh,Nahan
Arunachal Pradesh,Naharlagun
Andhra Pradesh,Naidupet
West Bengal,Naihati
Chhattisgarh,Naila Janjgir
Uttarakhand,Nainital
Madhya Pradesh,Nainpur
Uttar Pradesh,Najibabad
Punjab,Nakodar
Uttar Pradesh,Nakur
Assam,Nalbari
Tamil Nadu,Namagiripettai
Tamil Nadu,Namakkal
Maharashtra,Nanded-Waghala
Maharashtra,Nandgaon
Tamil Nadu,Nandivaram-Guduvancheri
Maharashtra,Nandura
Maharashtra,Nandurbar
Andhra Pradesh,Nandyal
Punjab,Nangal
Karnataka,Nanjangud
Tamil Nadu,Nanjikottai
Uttar Pradesh,Nanpara
Andhra Pradesh,Narasapuram
Andhra Pradesh,Narasaraopet
Uttar Pradesh,Naraura
Telangana,Narayanpet
Karnataka,Nargund
Bihar,Narkatiaganj
Maharashtra,Narkhed
Haryana,Narnaul
Madhya Pradesh,Narsinghgarh
Andhra Pradesh,Narsipatnam
Haryana,Narwana
Maharashtra,Nashik
Rajasthan,Nasirabad
Tamil Nadu,Natham
Rajasthan,Nathdwara
Bihar,Naugachhia
Uttar Pradesh,Naugawan Sadat
Uttar Pradesh,Nautanwa
Karnataka,Navalgund
Maharashtra,Navi Mumbai
Gujarat,Navsari
Uttar Pradesh,Nawabganj
Bihar,Nawada
Punjab,Nawanshahr
Maharashtra,Nawapur
Kerala,Nedumangad
Rajasthan,Neem-Ka-Thana
Madhya Pradesh,Neemuch
Uttar Pradesh,Nehtaur
Karnataka,Nelamangala
Tamil Nadu,Nellikuppam
Andhra Pradesh,Nellore
Madhya Pradesh,Nepanagar
Delhi,New Delhi
Tamil Nadu,Neyveli (TS)
Kerala,Neyyattinkara
Andhra Pradesh,Nidadavole
Maharashtra,Nilanga
Kerala,Nilambur
Rajasthan,Nimbahera
Telangana,Nirmal
Madhya Pradesh,Niwari
Uttar Pradesh,Niwai
Telangana,Nizamabad
Rajasthan,Nohar
Uttar Pradesh,Noida
Bihar,Nokha
Rajasthan,Nokha
Meghalaya,Nongstoin
Uttar Pradesh,Noorpur
Assam,North Lakhimpur
Madhya Pradesh,Nowgong
Madhya Pradesh,Nowrozabad (Khodargama)
Andhra Pradesh,Nuzvid
Tamil Nadu,O' Valley
Tamil Nadu,Oddanchatram
Uttar Pradesh,Obra
Andhra Pradesh,Ongole
Uttar Pradesh,Orai
Maharashtra,Osmanabad
Kerala,Ottappalam
Maharashtra,Ozar
Tamil Nadu,P.N.Patti
Maharashtra,Pachora
Madhya Pradesh,Pachore
Tamil Nadu,Pacode
Tamil Nadu,Padmanabhapuram
Gujarat,Padra
Uttar Pradesh,Padrauna
Maharashtra,Paithan
Jharkhand,Pakaur
Andhra Pradesh,Palacole
Kerala,Palai
Kerala,Palakkad
Tamil Nadu,Palani
Gujarat,Palanpur
Andhra Pradesh,Palasa Kasibugga
Maharashtra,Palghar
Rajasthan,Pali
Madhya Pradesh,Pali
Uttar Pradesh,Palia Kalan
Gujarat,Palitana
Tamil Nadu,Palladam
Tamil Nadu,Pallapatti
Tamil Nadu,Pallikonda
Haryana,Palwal
Telangana,Palwancha
Madhya Pradesh,Panagar
Tamil Nadu,Panagudi
Goa,Panaji
Kerala,Panamattom
Haryana,Panchkula
West Bengal,Panchla
Maharashtra,Pandharkaoda
Maharashtra,Pandharpur
Madhya Pradesh,Pandhurna
West Bengal,Pandua
Haryana,Panipat
Madhya Pradesh,Panna
Kerala,Panniyannur
Tamil Nadu,Panruti
Maharashtra,Panvel
Kerala,Pappinisseri
Odisha,Paradip
Tamil Nadu,Paramakudi
Tamil Nadu,Parangipettai
Uttar Pradesh,Parasi
Kerala,Paravoor
Maharashtra,Parbhani
Gujarat,Pardi
Odisha,Parlakhemundi
Maharashtra,Parli
Maharashtra,Partur
Andhra Pradesh,Parvathipuram
Madhya Pradesh,Pasan
West Bengal,Paschim Punropara
Arunachal Pradesh,Pasighat
Gujarat,Patan
Kerala,Pathanamthitta
Punjab,Pathankot
Maharashtra,Pathardi
Maharashtra,Pathri
Punjab,Patiala
Bihar,Patna
Punjab,Pattran
Jharkhand,Patratu
Odisha,Pattamundai
Punjab,Patti
Tamil Nadu,Pattukkottai
Maharashtra,Patur
Maharashtra,Pauni
Uttarakhand,Pauri
Karnataka,Pavagada
Andhra Pradesh,Pedana
Andhra Pradesh,Peddapuram
Haryana,Pehowa
Maharashtra,Pen
Tamil Nadu,Perambalur
Tamil Nadu,Peravurani
Kerala,Peringathur
Kerala,Perinthalmanna
Tamil Nadu,Periyakulam
Tamil Nadu,Periyasemur
Tamil Nadu,Pernampattu
Kerala,Perumbavoor
Gujarat,Petlad
Punjab,Phagwara
Rajasthan,Phalodi
Maharashtra,Phaltan
Punjab,Phillaur
Odisha,Phulabani
Rajasthan,Phulera
Uttar Pradesh,Phulpur
Jharkhand,Phusro
Uttar Pradesh,Pihani
Rajasthan,Pilani
Rajasthan,Pilibanga
Uttar Pradesh,Pilibhit
Uttar Pradesh,Pilkhuwa
Rajasthan,Pindwara
Haryana,Pinjore
Rajasthan,Pipar City
Madhya Pradesh,Pipariya
Bihar,Piro
Karnataka,Piriyapatna
Madhya Pradesh,Pithampur
Andhra Pradesh,Pithapuram
Uttarakhand,Pithoragarh
Tamil Nadu,Pollachi
Tamil Nadu,Polur
Puducherry,Pondicherry
Kerala,Ponnani
Tamil Nadu,Ponneri
Andhra Pradesh,Ponnur
Gujarat,Porbandar
Madhya Pradesh,Porsa
Andaman and Nicobar Islands,Port Blair
Uttar Pradesh,Powayan
Rajasthan,Prantij
Rajasthan,Pratapgarh
Tripura,Pratapgarh
Madhya Pradesh,Prithvipur
Andhra Pradesh,Proddatur
Tamil Nadu,Pudukkottai
Tamil Nadu,Pudupattinam
Uttar Pradesh,Pukhrayan
Maharashtra,Pulgaon
Tamil Nadu,Puliyankudi
Kerala,Punalur
Jammu and Kashmir,Punch
Maharashtra,Pune
Tamil Nadu,Punjaipugalur
Andhra Pradesh,Punganur
Uttar Pradesh,Puranpur
Maharashtra,Purna
Odisha,Puri
Bihar,Purnia
Uttar Pradesh,Purquazi
West Bengal,Purulia
Uttar Pradesh,Purwa
Maharashtra,Pusad
Karnataka,Puttur
Kerala,Puthuppally
Andhra Pradesh,Puttur
Punjab,Qadian
Kerala,Koyilandy
Karnataka,Rabkavi Banhatti
Gujarat,Radhanpur
Uttar Pradesh,Rae Bareli
Bihar,Rafiganj
Madhya Pradesh,Raghogarh-Vijaypur
West Bengal,Raghunathpur
West Bengal,Raghunathganj
Madhya Pradesh,Rahatgarh
Maharashtra,Rahuri
Karnataka,Raayachuru
West Bengal,Raiganj
Chhattisgarh,Raigarh
Karnataka,Ranebennuru
Tamil Nadu,Ranipet
Punjab,Raikot
Chhattisgarh,Raipur
Odisha,Rairangpur
Madhya Pradesh,Raisen
Rajasthan,Raisinghnagar
Odisha,Rajagangapur
Andhra Pradesh,Rajahmundry
Rajasthan,Rajakhera
Rajasthan,Rajaldesar
Andhra Pradesh,Rajam
Andhra Pradesh,Rajampet
Tamil Nadu,Rajapalayam
Jammu and Kashmir,Rajauri
Rajasthan,Rajgarh (Alwar)
Rajasthan,Rajgarh (Churu)
Madhya Pradesh,Rajgarh
Bihar,Rajgir
Gujarat,Rajkot
Chhattisgarh,Rajnandgaon
Gujarat,Rajpipla
Punjab,Rajpura
Rajasthan,Rajsamand
Gujarat,Rajula
Maharashtra,Rajura
Andhra Pradesh,Ramachandrapuram
Telangana,Ramagundam
Karnataka,Ramanagaram
Tamil Nadu,Ramanathapuram
Karnataka,Ramdurg
Tamil Nadu,Rameshwaram
Rajasthan,Ramganj Mandi
Jharkhand,Ramgarh
Rajasthan,Ramngarh
Bihar,Ramnagar
Uttarakhand,Ramnagar
Uttar Pradesh,Rampur
Uttar Pradesh,Rampur Maniharan
Punjab,Rampura Phul
West Bengal,Rampurhat
Maharashtra,Ramtek
West Bengal,Ranaghat
Gujarat,Ranavav
Jharkhand,Ranchi
Assam,Rangia
Haryana,Rania
Karnataka,Ranibennur
Gujarat,Rapar
Tamil Nadu,Rasipuram
Uttar Pradesh,Rasra
Rajasthan,Ratangarh
Uttar Pradesh,Rath
Haryana,Ratia
Madhya Pradesh,Ratlam
Maharashtra,Ratnagiri
Madhya Pradesh,Rau
Odisha,Raurkela
Maharashtra,Raver
Rajasthan,Rawatbhata
Rajasthan,Rawatsar
Bihar,Raxaul Bazar
Andhra Pradesh,Rayachoti
Andhra Pradesh,Rayadurg
Odisha,Rayagada
Rajasthan,Reengus
Madhya Pradesh,Rehli
Andhra Pradesh,Renigunta
Uttar Pradesh,Renukoot
Uttar Pradesh,Reoti
Andhra Pradesh,Repalle
Bihar,Revelganj
Madhya Pradesh,Rewa
Haryana,Rewari
Uttarakhand,Rishikesh
Maharashtra,Risod
Uttar Pradesh,Robertsganj
Karnataka,Robertson Pet
Haryana,Rohtak
Karnataka,Ron
Uttarakhand,Roorkee
Bihar,Rosera
Uttar Pradesh,Rudauli
Uttarakhand,Rudrapur
Uttar Pradesh,Rudrapur
Punjab,Rupnagar
Madhya Pradesh,Sabalgarh
Uttar Pradesh,Sadabad
Karnataka,Sadalagi
Telangana,Sadasivpet
Rajasthan,Sadri
Rajasthan,Sadulshahar
Rajasthan,Sadulpur
Haryana,Safidon
Uttar Pradesh,Safipur
Madhya Pradesh,Sagar
Karnataka,Sagara
Rajasthan,Sagwara
Uttar Pradesh,Saharanpur
Bihar,Saharsa
Uttar Pradesh,Sahaspur
Uttar Pradesh,Sahaswan
Uttar Pradesh,Sahawar
Jharkhand,Sahibganj
Uttar Pradesh,Sahjanwa
Uttar Pradesh,Saidpur
Mizoram,Saiha
Maharashtra,Sailu
West Bengal,Sainthia
Karnataka,Sakaleshapura
Chhattisgarh,Sakti
Gujarat,Salaya
Tamil Nadu,Salem
Andhra Pradesh,Salur
Haryana,Samalkha
Andhra Pradesh,Samalkot
Punjab,Samana
Bihar,Samastipur
Odisha,Sambalpur
Uttar Pradesh,Sambhal
Rajasthan,Sambhar
Uttar Pradesh,Samdhan
Uttar Pradesh,Samthar
Gujarat,Sanand
Madhya Pradesh,Sanawad
Rajasthan,Sanchore
Haryana,Sarsod
Karnataka,Sindagi
Uttar Pradesh,Sandi
Uttar Pradesh,Sandila
Karnataka,Sanduru
Maharashtra,Sangamner
Telangana,Sangareddy
Rajasthan,Sangaria
Maharashtra,Sangli
Maharashtra,Sangole
Punjab,Sangrur
Tamil Nadu,Sankarankoil
Tamil Nadu,Sankari
Karnataka,Sankeshwara
West Bengal,Santipur
Madhya Pradesh,Sarangpur
Rajasthan,Sardarshahar
Uttar Pradesh,Sardhana
Madhya Pradesh,Sarni
Bihar,Sasaram
Maharashtra,Sasvad
Maharashtra,Satana
Maharashtra,Satara
Madhya Pradesh,Satna
Tamil Nadu,Sathyamangalam
Andhra Pradesh,Sattenapalle
Tamil Nadu,Sattur
Jharkhand,Saunda
Karnataka,Saundatti-Yellamma
Madhya Pradesh,Sausar
Gujarat,Savarkundla
Karnataka,Savanur
Maharashtra,Savner
Rajasthan,Sawai Madhopur
Maharashtra,Sawantwadi
Karnataka,Sedam
Madhya Pradesh,Sehore
Madhya Pradesh,Sendhwa
Uttar Pradesh,Seohara
Madhya Pradesh,Seoni
Madhya Pradesh,Seoni-Malwa
Karnataka,Shahabad
Uttar Pradesh,"Shahabad, Hardoi"
Uttar Pradesh,"Shahabad, Rampur"
Maharashtra,Shahade
Haryana,Shahbad
Madhya Pradesh,Shahdol
Uttar Pradesh,Shahganj
Uttar Pradesh,Shahjahanpur
Karnataka,Shahpur
Rajasthan,Shahpura
Madhya Pradesh,Shajapur
Madhya Pradesh,Shamgarh
Uttar Pradesh,Shamli
Uttar Pradesh,"Shamsabad, Agra"
Uttar Pradesh,"Shamsabad, Farrukhabad"
Maharashtra,Shegaon
Bihar,Sheikhpura
Maharashtra,Shendurjana
Tamil Nadu,Shenkottai
Rajasthan,Sheoganj
Bihar,Sheohar
Madhya Pradesh,Sheopur
Bihar,Sherghati
Uttar Pradesh,Sherkot
Karnataka,Shiggaon
Karnataka,Shikaripur
Uttar Pradesh,"Shikarpur, Bulandshahr"
Uttar Pradesh,Shikohabad
Meghalaya,Shillong
Himachal Pradesh,Shimla
Karnataka,Shivamogga
Maharashtra,Shirdi
Maharashtra,Shirpur-Warwade
Maharashtra,Shirur
Uttar Pradesh,Shishgarh
Madhya Pradesh,Shivpuri
Tamil Nadu,Sholavandan
Tamil Nadu,Sholingur
Kerala,Shoranur
Karnataka,Surapura
Maharashtra,Shrigonda
Maharashtra,Shrirampur
Karnataka,Shrirangapattana
Madhya Pradesh,Shujalpur
Uttar Pradesh,Siana
Assam,Sibsagar
Telangana,Siddipet
Madhya Pradesh,Sidhi
Gujarat,Sidhpur
Karnataka,Sidlaghatta
Gujarat,Sihor
Madhya Pradesh,Sihora
Uttar Pradesh,Sikanderpur
Uttar Pradesh,Sikandra Rao
Uttar Pradesh,Sikandrabad
Rajasthan,Sikar
Bihar,Silao
Assam,Silapathar
Assam,Silchar
West Bengal,Siliguri
Maharashtra,Sillod
Dadra and Nagar Haveli,Silvassa
Jharkhand,Simdega
Karnataka,Sindhagi
Karnataka,Sindhnur
Madhya Pradesh,Singrauli
Maharashtra,Sinnar
Karnataka,Sira
Telangana,Sircilla
Punjab,Sirhind Fatehgarh Sahib
Tamil Nadu,Sirkali
Rajasthan,Sirohi
Madhya Pradesh,Sironj
Haryana,Sirsa
Uttar Pradesh,Sirsaganj
Karnataka,Sirsi
Uttar Pradesh,Sirsi
Karnataka,Siruguppa
Bihar,Sitamarhi
Uttar Pradesh,Sitapur
Uttarakhand,Sitarganj
Tamil Nadu,Sivaganga
Tamil Nadu,Sivagiri
Tamil Nadu,Sivakasi
Bihar,Siwan
Madhya Pradesh,Sohagpur
Haryana,Sohna
Rajasthan,Sojat
Himachal Pradesh,Solan
Maharashtra,Solapur
West Bengal,Sonamukhi
Bihar,Sonepur
Gujarat,Songadh
Haryana,Sonipat
Jammu and Kashmir,Sopore
Odisha,Soro
Uttar Pradesh,Soron
Maharashtra,Soyagaon
Rajasthan,Sri Madhopur
Andhra Pradesh,Srikakulam
Andhra Pradesh,Srikalahasti
Jammu and Kashmir,Srinagar
Uttarakhand,Srinagar
Karnataka,Srinivaspur
Andhra Pradesh,Srisailam Project (Right Flank Colony) Township
West Bengal,Srirampore
Tamil Nadu,Srivilliputhur
Uttar Pradesh,Suar
Bihar,Sugauli
Rajasthan,Sujangarh
Punjab,Sujanpur
Bihar,Sultanganj
Andhra Pradesh,Sullurpeta
Uttar Pradesh,Sultanpur
Rajasthan,Sumerpur
Uttar Pradesh,Sumerpur
Odisha,Sunabeda
Punjab,Sunam
Odisha,Sundargarh
Himachal Pradesh,Sundarnagar
Bihar,Supaul
Tamil Nadu,Surandai
Gujarat,Surat
Rajasthan,Suratgarh
West Bengal,Suri
Tamil Nadu,Suriyampalayam
Telangana,Suryapet
Andhra Pradesh,Tadepalligudem
Andhra Pradesh,Tadpatri
West Bengal,Taki
Gujarat,Talaja
Odisha,Talcher
Maharashtra,Talegaon Dabhade
Karnataka,Talikota
Kerala,Taliparamba
Maharashtra,Talode
Punjab,Talwara
West Bengal,Tamluk
Uttar Pradesh,Tanda
Telangana,Tandur
Andhra Pradesh,Tanuku
